,model_name,val_rmse:,train_rmse,rmse_grid,rmse_randomized
0,LinearRegression,68971.74229920379,68635.59352516981,69066.7588708159,68962.58129879806
1,DecisionTreeRegressor,70507.50362505668,0.0,66947.38634018271,65642.52631947258
2,RandomForestRegressor,52515.60990991453,22151.775485475628,51052.25307396556,50059.11037204229
