,model_name,val_rmse:,train_rmse,rmse_grid,rmse_randomized
0,LinearRegression,70317.69752893924,69958.3994032614,70317.81261697185,70317.81261697185
1,DecisionTreeRegressor,71901.2607361946,0.0,65753.27220456253,67227.88348034541
2,RandomForestRegressor,53549.68964088807,22229.40015016412,51035.625839297856,51495.29594113591
3,SVR,118699.61169647159,118586.11034501594,71432.57936991588,71319.84417930494
